nombre,slug,descripcion,tipo_cocina,categoria_detectada,rango_precio,provincia,distrito,corregimiento,direccion,telefono,sitio_web,latitud,longitud,horario,rating,cantidad_resenas,imagen_url,delivery,reservas,activo,fuente,query_origen,google_place_id,google_data_id,google_data_cid
Papas Locas,papas-locas-776438,,Restaurante,Salchipapas,,Panamá,Panamá,,"2GV6+MH9, C. 15, Panamá, Provincia de Panamá",6321-1005,,9.044164799999999,-79.4885312,Abierto · Cierra a las 11 p. m.,4.0,171,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFYaaFepe3KCNkZxfglmPUpPkDhQAAT5A-iUMPlRbufkstEMHLvVO75nM5gkxJE44wEaHzJ_TXTVrFbAR3v2rnsjghuUDFd9W98MY4qLYlJJNcvuqtCSywJGtbbY_HeGkZaXlfjsT1ZTzimwMKMZ8nFGjdSMLqEKQN22FQ8_4axHNA7G4UToW-nLA=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJW_B_F3JXq48RNjs-y-jl5sw,0x8fab5772177ff05b:0xcce6e5e8cb3e3b36,14764741216385776438
Comidas rapidas luva,comidas-rapidas-luva-406233,,Restaurante,Salchipapas,,Panamá,Panamá,,"El Crisol, Panamá, Provincia de Panamá",6778-9551,,9.0478311,-79.4736243,Abierto · Cierra a las 11:30 p. m.,4.2,6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNNMqhZGxcFQfqL7BvolY9WuPi0FcQ9AyLZF_Mmxv-dPqO0jou27HvpxF6Jvqj7YM1XqxX2sb97jCf3lE8vtg-_Oeo-GG8YqAcS5ENU7E_cyxoR_LWda294LGhep2ayd_pnQq5sg=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJAR6NKlhXq48R2adaEcrRfD4,0x8fab57582a8d1e01:0x3e7cd1ca115aa7d9,4502704393268406233
Donde Timoty,donde-timoty-355011,,Restaurante,Salchipapas,,Panamá,Panamá,,"san miguelito, Los Andes, Panamá",6826-0909,https://instagram.com/dondetimoty?igshid=YmMyMTA2M2Y=,9.0513431,-79.5104415,Cerrado · Abre a las 5:30 p. m.,4.5,13,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwY4rAO_D-igtsB0lSGp0uwlb18OJdJxt2NZOIF79_hsNNYGnNrf188lUg3-cpaKRGpn3H9zOVnFgw4yhCrEB00COHV2osr9g4LrtM4tMIZrc96QMJP7n4mmw3D2DxkZ7U0dM=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJjT6YTlRXq48RA6lAL74nS8I,0x8fab57544e983e8d:0xc24b27be2f40a903,14000327564401355011
Salchiburger co.,salchiburger-co-410852,,Hamburguesería,Salchipapas,,Panamá,Panamá,,"XFQC+GWX, Vía Argentina, Panama City, Panamá Province",,,8.9888511,-79.5276354,,4.4,13,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxgIeml7Hlkr8OamCCQcICWNVJehw8yd8LwGlkCokgkFREwphHu4E8AHVimTBedigWeeizq-eSBV9tSclBnqgwExfEIIy6M3blNXCQ55WymXbXiPdEjJn92xOfA-0dZ5bQ9_tPBs2HfLQ=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJD8jsFgCprI8RZMGGdFAlPEM,0x8faca90016ecc80f:0x433c25507486c164,4844788326626410852
Aji de Cali,aji-de-cali-018498,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,"2HWQ+J37, C. Escandinavos, Panamá, Provincia de Panamá",6347-8265,,9.0465422,-79.4123417,Abierto · Cierra a las 10:30 p. m.,4.6,116,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHf9p97EDTQpeivrLMiL4KFfoXelj_dLYkveNx-Dv-4xFDr7fYhy3enimByP61Z-mcYTAPY0rjRT-BbFqKGk2q5qyTnhFqr2ecZZvd4mR_23dT0a1gjxy74Vz8vfC93Ik3CuS0b=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJdddwYYFVq48RwnBi2SHWHaY,0x8fab55816170d775:0xa61dd621d96270c2,11969958825490018498
Pepito's Village | Vía España,pepito-s-village-via-espana-557074,,Restaurante,Salchipapas,,Panamá,Panamá,,"Cruce Vía España y, Av. 12 de Octubre, Panamá",6616-4094,https://instagram.com/pepitosvillage?igshid=YmMyMTA2M2Y=,9.0082009,-79.5080594,Abierto · Cierra a las 12 a. m.,4.2,143,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG7Glx8UNDWr8aVS7PVQuh-2skuK-hykpFjVIWebQ_i9_bJk_i-l9t-ALTGGg3AvkUHMUz4YUA70qeomIkqLadBH5t2e7JshpaZ9URpNUT_85shT0QFa-h1cBb_rbDbAcgt2nj0yx5AkJ47sSPviek7IYFPZEdnAeYyKkRDb3JTGrPfqYZbKBLE=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJoygVxZyprI8R0vj2WcVCM6c,0x8faca99cc51528a3:0xa73342c559f6f8d2,12048046843531557074
Pa Onde el Gocho,pa-onde-el-gocho-636694,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,"Plaza Chicheme cars wash, Calle Jorge A. Zarak, Panamá, Provincia de Panamá",6470-7805,https://paondeelgocho.waiterio.com/,9.0012173,-79.51938369999999,Abierto · Cierra a las 11:55 p. m.,4.9,11,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGy4vjSGF_pgKWVyK4B02zLPAwW17cuP43xMabTB8ZsVwMYXvMdkovcLfc6Sk5dxCdiq76Uurn2-Gkahw7i9RG44-CRPJEOx2ggVYh5WFw62qpt8OdupzhTrmt7lxD2yGtDJqV_Pva4y34I=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJsWfskf2prI8RVlCKefUhfew,0x8faca9fd91ec67b1:0xec7d21f5798a5056,17040813903229636694
Salchipapas El Cielo,salchipapas-el-cielo-852872,,Restaurante,Salchipapas,,Panamá,Panamá,,"Brisas del Golf, Panamá, Provincia de Panamá",,,9.0701593,-79.4609514,Abierto · Cierra a las 11 p. m.,,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hs3YmVsqEVzepY82gI3kHw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=244.4448&pitch=0&thumbfov=100,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJNUmH9CpVq48RSFfPEhL6zVA,0x8fab552af4874935:0x50cdfa1212cf5748,5822584848791852872
DONDE LOLO,donde-lolo-608092,,Hamburguesería,Salchipapas,,Panamá,Panamá,,"Avenida Porras a 50 metros del Super 99, Av. Dr. Belisario Porras, Panamá",6354-2933,,8.9928898,-79.51691699999999,Abierto · Cierra a la 1 a. m.,4.5,279,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEEZGmZIGeevpcKamCCcI0bvcPLfvCb9V6e9oDDnJw37TcKY5rVvwsWYfAM58PQTm_nI7w5Vdqtz16zUrBpSLdpg2y8xbsIrk5C9hOdHxi1cb1MGchGO8EAIl4rjmn93U7-rSfczL6Z8JT2eQl76tvWMKOB4hcI3zar4UQX5FPrC-L-oQ17AOVZ=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJO9LwanuprI8RXFFF7VPmf2I,0x8faca97b6af0d23b:0x627fe653ed45515c,7097644785896608092
Que Riko,que-riko-314024,,Restaurante,Salchipapas,,Panamá,Panamá,,"Plaza Strip, Calle 58 Este 58, Panamá",391-9313,http://www.queriko.com/,8.988090699999999,-79.5191251,Abierto · Cierra a las 10 p. m.,4.5,160,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFYuiVqH-T4Lm7oRDz8MiW7I5gDQyWpLS5ljivyYVlTrh3j_FbrKjwaRF5xjlCbK5l5rxCYNJMuIOBHSZmmS7IeHMzCfZtKOG4Jvh_3sKrzQ0cmhKXQvxeDsKnwTnkkeKXi0BkrmSipKb7mkZ5el4orcxKsW_gNoQ2VJLjrQvSxMiHNUaP_qrJddg=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJy4_7B5CprI8R6BvexWXD_0E,0x8faca99007fb8fcb:0x41ffc365c5de1be8,4755734573405314024
